,author,text,gender,age
0,02ae95de-7ee3-453a-978d-25d28b3f1a88,"Things I want for my business cards but are too expensive: 3 PMS colors. colored edges, soft touch finish, raised spot UV, cut 45°corners.		",M,25-34
1,02ae95de-7ee3-453a-978d-25d28b3f1a88,"""painters produced their most highly valued work when they were 41.92 years old""
http://t.co/T8Gvom70GE

So... I've 15 years left for mine?		",M,25-34
2,02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username your new discussion layout is confusing regarding who says what, because the comments aren't sectioned off. http://t.co/Dfkg4js2o2		",M,25-34
3,02ae95de-7ee3-453a-978d-25d28b3f1a88,I never really understood why game environments (which you see most of) get so few resources compared to characters. https://t.co/3Af3fn7XVe		,M,25-34
4,02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username 20k and 2048² on a gun, fine. But throwing the same on an enemy that you try to shoot before he gets too close?		",M,25-34
5,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username Guns using the texture already in memory is good. Guns on the floor having the same model as FPS isn't. Probably LOD models.		,M,25-34
6,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username I'm talking about chars that are small scale compared to enviro props. Extreme example: http://t.co/HOR8W8T2Pr 30~40tri scene		,M,25-34
7,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username Dammit Crendor. You broke Jesse's game and made the audio go *poof*. Totally your fault.		,M,25-34
8,02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username @username I liken Esther to a movie. You can choose to progress or not, but not affect much else. But really, grey area.		",M,25-34
9,02ae95de-7ee3-453a-978d-25d28b3f1a88,"Gamers unfazed, Sale has arrived!
The tiniest prices, finest of prizes.
Gaben be Praised, Discounts shall thrive! http://t.co/tVbSgnvo1e		",M,25-34
10,02ae95de-7ee3-453a-978d-25d28b3f1a88,"Indie gamedev: I don't want to be bound by publishers and marketing-tests.
Indy gamedev: Games are an artform! They belong in a museum!		",M,25-34
11,02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username @username @username 25 mbit here (get 22~23), for €10 in the Netherlands. Previous contract since '08 or '09 was €25, same speed.		",M,25-34
12,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username On the flipside: half games for half prices...		,M,25-34
13,02ae95de-7ee3-453a-978d-25d28b3f1a88,Happy new years with an appropriately times new site!		,M,25-34
14,02ae95de-7ee3-453a-978d-25d28b3f1a88,"Just played the first two episodes of Quake again, game's still tight. Loving the smooth movement.		",M,25-34
15,02ae95de-7ee3-453a-978d-25d28b3f1a88,So apparently paying €5 a month for Spotify makes me worse than a music pirate...? Dafuq? http://t.co/eP8m6V18Om		,M,25-34
16,02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username Wanted to say I appreciate the choice for minions. Should make the game feel nicely crowded, and give 'bad' players more fun.		",M,25-34
17,02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username Heh. I think it's funny you're apologizing for sound quality that's still better than, say, 90% of youtube game voiceovers.		",M,25-34
18,02ae95de-7ee3-453a-978d-25d28b3f1a88,"I know this is cool and serious science, but it had me giggling like a kid. Best of both worlds!

http://t.co/MqlzTQRJ5H		",M,25-34
19,02ae95de-7ee3-453a-978d-25d28b3f1a88,"Working on refining my logo...
To chamfer or nor to chamfer, that is the question. http://t.co/QfOAeb6KA6		",M,25-34
20,02ae95de-7ee3-453a-978d-25d28b3f1a88,"30c3 To Protect And Infect - YouTube http://t.co/tBS0nGZIXS
I don't know a whole lot about network security, but enough that this scares me.		",M,25-34
21,02ae95de-7ee3-453a-978d-25d28b3f1a88,"Silly Spotify. White Zombie, Judge Dredd (2012) Soundtrack, Rob Zombie, ...Blue Man Group? Okay then.		",M,25-34
22,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username Thanks for mentioning the Hearthstone open beta! I've been anxiously waiting but hadn't gotten any emails about it yet.		,M,25-34
23,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username Do you perchance read Jezebel? The timing is rather close: http://t.co/cUkl2hJM0j		,M,25-34
24,02ae95de-7ee3-453a-978d-25d28b3f1a88,@username I am so sick of people on twitter complaining about a bunch people on twitter!		,M,25-34
